timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-03-24,104.99,105.49,103.84,105.44,105.44,30411043,0.0000,1.0
2023-03-23,105.06,106.3,104.46,105.6,105.6,40797769,0.0000,1.0
2023-03-22,104.27,106.59,103.33,103.37,103.37,43427419,0.0000,1.0
2023-03-21,101.25,105.1,101.22,104.92,104.92,42110279,0.0000,1.0
2023-03-20,100.12,101.75,99.87,101.22,101.22,32960440,0.0000,1.0
2023-03-17,100.26,102.835,100.1,101.62,101.62,61028547,0.0000,1.0
2023-03-16,96.2,101.19,95.5,100.32,100.32,65567656,0.0000,1.0
2023-03-15,93.22,96.93,92.64,96.11,96.11,50622050,0.0000,1.0
2023-03-14,92.56,94.36,92.44,93.97,93.97,36050214,0.0000,1.0
2023-03-13,90.09,92.57,89.42,91.11,91.11,37335573,0.0000,1.0
2023-03-10,92.17,92.79,90.395,90.63,90.63,35941046,0.0000,1.0
2023-03-09,94.05,95.53,91.9,92.32,92.32,28813532,0.0000,1.0
2023-03-08,94.12,95.955,94.0,94.25,94.25,34103265,0.0000,1.0
2023-03-07,94.98,95.67,93.53,93.86,93.86,27835476,0.0000,1.0
2023-03-06,94.015,95.97,94.0,95.13,95.13,32639313,0.0000,1.0
2023-03-03,92.48,93.73,92.45,93.65,93.65,35160105,0.0000,1.0
2023-03-02,89.66,92.275,89.59,92.0,92.0,32226229,0.0000,1.0
2023-03-01,89.98,91.03,89.67,90.36,90.36,31111225,0.0000,1.0
2023-02-28,89.33,91.23,89.32,90.06,90.06,30142039,0.0000,1.0
2023-02-27,89.87,90.16,89.335,89.87,89.87,27502302,0.0000,1.0
2023-02-24,89.44,89.89,88.575,89.13,89.13,36585093,0.0000,1.0
2023-02-23,91.92,91.94,89.76,90.89,90.89,41206380,0.0000,1.0
2023-02-22,91.7,92.11,90.61,91.65,91.65,30884017,0.0000,1.0
2023-02-21,93.0,93.1,91.72,91.79,91.79,33629256,0.0000,1.0
2023-02-17,94.85,95.5599,93.21,94.35,94.35,34284118,0.0000,1.0
2023-02-16,95.37,97.68,94.74,95.51,95.51,42462618,0.0000,1.0
2023-02-15,94.49,97.12,94.15,96.94,96.94,50298481,0.0000,1.0
2023-02-14,94.43,94.845,92.26,94.68,94.68,54726120,0.0000,1.0
2023-02-13,94.74,95.2,93.84,94.61,94.61,50076120,0.0000,1.0
2023-02-10,95.45,96.75,94.25,94.57,94.57,54980696,0.0000,1.0
2023-02-09,100.0,100.03,93.63,95.01,95.01,119455020,0.0000,1.0
2023-02-08,102.05,103.14,98.035,99.37,99.37,94743515,0.0000,1.0
2023-02-07,103.22,108.18,103.12,107.64,107.64,49010230,0.0000,1.0
2023-02-06,102.4,104.36,101.88,102.9,102.9,31999562,0.0000,1.0
2023-02-03,102.93,107.81,102.58,104.78,104.78,65309261,0.0000,1.0
2023-02-02,105.8,107.85,105.61,107.74,107.74,69883762,0.0000,1.0
2023-02-01,98.71,101.19,97.58,100.43,100.43,35531104,0.0000,1.0
2023-01-31,96.87,98.88,96.82,98.84,98.84,29870669,0.0000,1.0
2023-01-30,97.48,98.29,96.395,96.94,96.94,27226198,0.0000,1.0
2023-01-27,97.31,100.32,97.31,99.37,99.37,33879753,0.0000,1.0
2023-01-26,96.5,97.57,95.38,97.52,97.52,30113974,0.0000,1.0
2023-01-25,95.57,96.162,93.76,95.22,95.22,42329952,0.0000,1.0
2023-01-24,98.1,99.61,97.2,97.7,97.7,33078512,0.0000,1.0
2023-01-23,97.95,100.04,97.5,99.79,99.79,40005055,0.0000,1.0
2023-01-20,95.1,98.3,95.02,98.02,98.02,63191078,0.0000,1.0
2023-01-19,90.72,93.605,90.63,93.05,93.05,37000395,0.0000,1.0
2023-01-18,92.14,92.7999,90.64,91.12,91.12,29116691,0.0000,1.0
2023-01-17,92.06,92.25,90.05,91.29,91.29,32602423,0.0000,1.0
2023-01-13,90.85,92.19,90.1299,92.12,92.12,26329212,0.0000,1.0
2023-01-12,91.48,91.87,89.75,91.13,91.13,30258135,0.0000,1.0
2023-01-11,89.18,91.6,89.01,91.52,91.52,26861969,0.0000,1.0
2023-01-10,85.98,88.67,85.83,88.42,88.42,30467755,0.0000,1.0
2023-01-09,88.36,90.05,87.86,88.02,88.02,29003901,0.0000,1.0
2023-01-06,86.79,87.69,84.86,87.34,87.34,41381495,0.0000,1.0
2023-01-05,87.47,87.57,85.9,86.2,86.2,27194375,0.0000,1.0
2023-01-04,90.35,90.65,87.271,88.08,88.08,34854776,0.0000,1.0
2023-01-03,89.585,91.05,88.52,89.12,89.12,28131224,0.0000,1.0
2022-12-30,86.98,88.3,86.57,88.23,88.23,23986297,0.0000,1.0
2022-12-29,86.62,88.845,86.61,88.45,88.45,23333537,0.0000,1.0
