timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-04-26,212.5,214.11,208.88,209.4,209.4,35185227,0.0000,1.0
2023-04-25,210.815,211.26,207.13,207.55,207.55,19198175,0.0000,1.0
2023-04-24,213.675,213.92,210.71,212.79,212.79,15750920,0.0000,1.0
2023-04-21,210.21,213.41,209.58,212.89,212.89,17717166,0.0000,1.0
2023-04-20,213.48,216.75,212.77,213.07,213.07,16475443,0.0000,1.0
2023-04-19,213.472,217.33,212.93,215.7,215.7,15898078,0.0000,1.0
2023-04-18,219.91,220.44,216.21,217.89,217.89,12280984,0.0000,1.0
2023-04-17,219.79,220.979,217.13,218.86,218.86,15411724,0.0000,1.0
2023-04-14,217.88,222.11,217.55,221.49,221.49,21591207,0.0000,1.0
2023-04-13,215.73,221.15,215.69,220.35,220.35,23310357,0.0000,1.0
2023-04-12,214.835,216.84,212.584,214.0,214.0,18972172,0.0000,1.0
2023-04-11,215.48,216.02,213.41,213.85,213.85,16710101,0.0000,1.0
2023-04-10,214.71,215.66,210.66,214.75,214.75,16106074,0.0000,1.0
2023-04-06,209.25,216.94,208.65,216.1,216.1,26104411,0.0000,1.0
2023-04-05,214.15,215.19,209.94,211.48,211.48,19396630,0.0000,1.0
2023-04-04,213.39,216.24,212.54,214.72,214.72,21026367,0.0000,1.0
2023-04-03,208.84,213.4861,208.2,213.07,213.07,17924613,0.0000,1.0
2023-03-31,207.24,212.17,206.77,211.94,211.94,25440273,0.0000,1.0
2023-03-30,203.38,208.09,202.82,207.84,207.84,22608303,0.0000,1.0
2023-03-29,203.56,205.72,202.5355,205.35,205.35,18851137,0.0000,1.0
2023-03-28,200.15,201.03,197.9,200.68,200.68,19127295,0.0000,1.0
2023-03-27,204.81,205.86,201.36,202.84,202.84,18527184,0.0000,1.0
2023-03-24,205.18,207.58,203.55,206.01,206.01,27733042,0.0000,1.0
2023-03-23,202.84,207.88,202.15,204.28,204.28,27389669,0.0000,1.0
2023-03-22,202.5,207.37,199.67,199.81,199.81,28477759,0.0000,1.0
2023-03-21,203.2,203.55,197.95,202.16,202.16,31826952,0.0000,1.0
2023-03-20,198.48,199.36,193.64,197.81,197.81,25186315,0.0000,1.0
2023-03-17,200.56,201.9,195.4304,195.61,195.61,50141098,0.0000,1.0
2023-03-16,198.26,205.76,196.0886,204.93,204.93,50819659,0.0000,1.0
2023-03-15,192.95,197.78,190.8351,197.75,197.75,42123552,0.0000,1.0
2023-03-14,187.58,194.32,186.56,194.02,194.02,41642627,0.0000,1.0
2023-03-13,177.96,183.78,174.82,180.9,180.9,24727969,0.0000,1.0
2023-03-10,181.01,184.77,178.8,179.51,179.51,25665032,0.0000,1.0
2023-03-09,186.35,188.93,180.3,181.69,181.69,26582750,0.0000,1.0
2023-03-08,182.87,185.26,181.34,184.97,184.97,19432405,0.0000,1.0
2023-03-07,189.0,190.36,184.01,184.51,184.51,36701495,0.0000,1.0
2023-03-06,188.0,189.66,184.64,184.9,184.9,33209394,0.0000,1.0
2023-03-03,178.92,186.62,177.05,185.25,185.25,45877692,0.0000,1.0
2023-03-02,172.38,175.01,171.43,174.53,174.53,17360708,0.0000,1.0
2023-03-01,174.59,177.85,173.05,173.42,173.42,30998380,0.0000,1.0
2023-02-28,171.9,177.55,171.87,174.94,174.94,46051117,0.0000,1.0
2023-02-27,171.875,173.12,169.06,169.54,169.54,19277002,0.0000,1.0
2023-02-24,168.64,170.72,167.66,170.39,170.39,19791334,0.0000,1.0
2023-02-23,172.0,173.69,169.38,172.04,172.04,20017779,0.0000,1.0
2023-02-22,171.07,172.755,169.69,171.12,171.12,22433158,0.0000,1.0
2023-02-21,174.31,178.17,171.88,172.08,172.08,34592582,0.0000,1.0
2023-02-17,170.22,173.18,169.7,172.88,172.88,24171260,0.0000,1.0
2023-02-16,172.75,175.85,171.79,172.44,172.44,25827473,0.0000,1.0
2023-02-15,176.415,178.19,175.33,177.16,177.16,25337966,0.0000,1.0
2023-02-14,177.16,181.5064,175.88,179.48,179.48,24034631,0.0000,1.0
2023-02-13,178.215,181.0,175.82,179.43,179.43,31463223,0.0000,1.0
2023-02-10,176.3534,178.89,173.35,174.15,174.15,33433567,0.0000,1.0
2023-02-09,186.13,186.65,177.27,177.92,177.92,37118811,0.0000,1.0
2023-02-08,190.0,190.83,182.92,183.43,183.43,36139074,0.0000,1.0
2023-02-07,185.575,193.7799,184.4,191.62,191.62,47080662,0.0000,1.0
2023-02-06,186.53,190.7,185.5156,186.06,186.06,42483811,0.0000,1.0
2023-02-03,183.465,196.77,182.89,186.53,186.53,76809701,0.0000,1.0
2023-02-02,183.38,197.16,180.16,188.77,188.77,150475687,0.0000,1.0
2023-02-01,148.03,153.58,147.06,153.12,153.12,55661017,0.0000,1.0
2023-01-31,147.95,149.88,147.52,148.97,148.97,29842109,0.0000,1.0
2023-01-30,149.405,151.1233,146.95,147.06,147.06,28040100,0.0000,1.0
2023-01-27,148.237,153.19,147.39,151.74,151.74,35771865,0.0000,1.0
2023-01-26,144.4,147.51,143.3,147.3,147.3,25482084,0.0000,1.0
2023-01-25,141.22,143.17,140.31,141.5,141.5,26622021,0.0000,1.0
2023-01-24,141.69,145.0,141.36,143.14,143.14,21970190,0.0000,1.0
2023-01-23,139.29,143.76,138.66,143.27,143.27,27470093,0.0000,1.0
2023-01-20,135.89,139.94,134.61,139.37,139.37,28688630,0.0000,1.0
2023-01-19,132.49,137.45,132.14,136.15,136.15,28625232,0.0000,1.0
2023-01-18,135.81,137.25,132.8,133.02,133.02,20215486,0.0000,1.0
2023-01-17,136.176,136.75,134.25,135.36,135.36,21147587,0.0000,1.0
2023-01-13,134.97,137.39,134.835,136.98,136.98,22423839,0.0000,1.0
2023-01-12,133.44,137.6781,131.76,136.71,136.71,30757732,0.0000,1.0
2023-01-11,130.96,133.8494,130.34,132.89,132.89,25423046,0.0000,1.0
2023-01-10,127.27,133.44,127.15,132.99,132.99,28684431,0.0000,1.0
2023-01-09,131.16,132.95,129.28,129.47,129.47,26649145,0.0000,1.0
2023-01-06,128.97,130.33,126.04,130.02,130.02,27584498,0.0000,1.0
2023-01-05,126.125,128.52,124.54,126.94,126.94,25447099,0.0000,1.0
2023-01-04,127.38,129.0498,125.85,127.37,127.37,32397094,0.0000,1.0
2023-01-03,122.82,126.37,122.28,124.74,124.74,35528531,0.0000,1.0
2022-12-30,118.16,120.42,117.74,120.34,120.34,19583825,0.0000,1.0
2022-12-29,116.4,121.03,115.77,120.26,120.26,22366192,0.0000,1.0
2022-12-28,116.25,118.15,115.51,115.62,115.62,19612473,0.0000,1.0
2022-12-27,117.93,118.6,116.0501,116.88,116.88,21392311,0.0000,1.0
2022-12-23,116.03,118.175,115.535,118.04,118.04,17796625,0.0000,1.0
2022-12-22,117.2,118.62,114.38,117.12,117.12,23618121,0.0000,1.0
2022-12-21,116.7,120.34,115.62,119.76,119.76,20392799,0.0000,1.0
2022-12-20,113.26,117.33,112.46,117.09,117.09,28742501,0.0000,1.0
2022-12-19,116.83,117.8,114.331,114.48,114.48,29769875,0.0000,1.0
2022-12-16,120.23,123.31,118.8214,119.43,119.43,67064001,0.0000,1.0
2022-12-15,118.33,118.625,114.01,116.15,116.15,34530970,0.0000,1.0
2022-12-14,119.39,124.14,119.39,121.59,121.59,36922037,0.0000,1.0
2022-12-13,122.13,123.3,118.64,120.15,120.15,44701054,0.0000,1.0
2022-12-12,115.18,115.72,113.14,114.71,114.71,24747064,0.0000,1.0
2022-12-09,115.3,117.54,113.87,115.9,115.9,26033353,0.0000,1.0
2022-12-08,116.39,117.34,114.59,115.33,115.33,30619418,0.0000,1.0
2022-12-07,113.76,115.88,112.88,113.93,113.93,29461137,0.0000,1.0
2022-12-06,119.91,120.55,113.74,114.12,114.12,43689183,0.0000,1.0
2022-12-05,121.75,124.67,121.35,122.43,122.43,35474884,0.0000,1.0
2022-12-02,117.83,124.04,117.61,123.49,123.49,39950464,0.0000,1.0
2022-12-01,119.198,121.2,118.4,120.44,120.44,36551374,0.0000,1.0
