timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-04-06,3227.5,3256.8999,3216.7,3221.7,3221.7,139159,0.0000,1.0
2023-04-05,3190.0,3263.6001,3185.75,3236.8,3236.8,188173,0.0000,1.0
2023-04-04,3199.25,3199.25,3199.25,3199.25,3199.25,0,0.0000,1.0
2023-04-03,3225.0,3225.0,3175.0,3199.25,3199.25,29210,0.0000,1.0
2023-03-31,3191.0,3214.0,3153.0,3205.8,3205.8,39813,0.0000,1.0
2023-03-29,3125.0,3149.0,3105.0,3138.1001,3138.1001,25771,0.0000,1.0
2023-03-28,3122.0,3145.3501,3110.0,3115.5,3115.5,31013,0.0000,1.0
2023-03-27,3123.8501,3151.95,3105.8501,3120.1001,3120.1001,77555,0.0000,1.0
2023-03-24,3145.0,3169.7,3108.8,3121.45,3121.45,34882,0.0000,1.0
2023-03-23,3117.0,3144.0,3100.8,3124.0,3124.0,26541,0.0000,1.0
2023-03-22,3121.3501,3143.6001,3106.1001,3130.7,3130.7,33080,0.0000,1.0
2023-03-21,3145.0,3155.0,3097.0,3105.8999,3105.8999,34240,0.0000,1.0
2023-03-20,3173.5,3173.5,3096.1001,3141.2,3141.2,52684,0.0000,1.0
2023-03-17,3151.0,3220.0,3145.0,3178.95,3178.95,269767,0.0000,1.0
2023-03-16,3196.0,3219.0,3171.45,3184.75,3184.75,52784,0.0000,1.0
2023-03-15,3242.55,3261.2,3191.0,3198.75,3198.75,95877,0.0000,1.0
2023-03-14,3275.55,3304.0,3210.0,3216.8501,3216.8501,240605,0.0000,1.0
2023-03-13,3331.05,3369.25,3272.0,3282.3999,3282.3999,81352,0.0000,1.0
2023-03-10,3311.0,3337.0,3295.0,3331.05,3331.05,54663,0.0000,1.0
2023-03-09,3389.7,3389.7,3329.0,3337.45,3337.45,48171,0.0000,1.0
2023-03-08,3361.0,3395.0,3331.7,3389.7,3389.7,30873,0.0000,1.0
2023-03-06,3356.0,3404.0,3356.0,3371.5,3371.5,57870,0.0000,1.0
2023-03-03,3360.0,3360.0,3331.0,3342.75,3342.75,15677,0.0000,1.0
2023-03-02,3369.95,3369.95,3318.0,3321.1499,3321.1499,48727,0.0000,1.0
2023-03-01,3326.5,3389.05,3320.0,3385.8501,3385.8501,48789,0.0000,1.0
2023-02-28,3331.8501,3392.0,3300.05,3314.1499,3314.1499,56090,0.0000,1.0
2023-02-27,3397.8999,3397.8999,3317.3,3331.8501,3331.8501,30683,0.0000,1.0
2023-02-24,3421.2,3434.0,3382.55,3400.05,3400.05,35329,0.0000,1.0
2023-02-23,3410.5,3453.75,3408.0,3414.1001,3414.1001,41914,0.0000,1.0
